review,sentiment
hosted robert deniro present footage outside inside twin tower new york september br br never grisly gory yet powerful moving real treat anyone moved television show immune anything br br star br br,1
´s well balanced mini series historical fact good plot four delivery follow north american family member see also follow story several character black reverend extremist student leader soldier vietnam filmography extraordinary first chapter see shot vietnam war scene next chapter start last one finished start time giving u little mystery happened general ´s mini series must see hippy fanatic everyone little curiosity topic,1
thinking great escape allowed mind wander back little gem movie childhood read read autobiographical novel inspired came cinema never used word actually town showed foreign film first line buy ticket br br someone brought wartime newsreel propaganda film wwii avid interest exploring reality conflict reflected memoir story men person extended later keen willingness year buy book subject eventually read equally compelling novel han helmut kirst erich maria remarque provided even deeper sensibility movie version however unlike one rarely delivered good br br medium black white film never served well year never seen technicolor version war seems authentic deep chiaroscuro film like wooden horse true destined always captive image childhood confess freely br br never another like leo genn emblematic british war hero film even sir alec,1
started watching fay grim idea sequel henry fool latter movie envisioned sequel one arrived quite good assume seen original explain one start fay parker posey living son deadbeat henry thomas jay ryan simon james urbaniak still jail one day son get expelled bringing pornographic toy school ordinary toy hold secret explains much happened first movie secret delf deeper geopolitics syriana br br must say quite impressed hal hartley accomplished maybe one quite reach original quality certainly take good look going world end leaf open possibility another sequel br br also starring jeff goldblum,1
watching movie never thought defending honest enough begininning much plot real character latch onto except killer acting better capable br br know three ten stellar review saying shot poorly completely useless etc think set supposed fairly well lighting minimal time natural audience used supposed top look like camcorder snuff film fact time quality probably still high true nobody would make tne minute camera work truly bad br br particularly scary disturbing time one two character come across believable soundtrack get tiring time overall put together cleaner lot camcorder movie,0
read lot people disappointed film compared part initially could understand bit thought think wrong soderbergh continues fact based telling che life started part part told story revolution moving unpromising beginning ultimately successful conclusion part tell story revolution move unpromising beginning completely unsuccessful conclusion soderbergh fault part che life completely different outcome bravely chooses tell fairly straightforward way viewer may feel lot better coming cinema part part reality che life opinion fault director film far perfect probably long least part saw different aspect war guerrilla success part catch break see number constantly reduced death capture che capture death dealt well film greatly enhanced dialogue spanish benicio del toro excellent charismatic argentinian seen part see similar telling different story part,1
movie horrible wonderful time first saw year old great deal nostalgic value movie cesar romero actually play character octavio man discovered santana also two actor monte markham play sam trying save daughter peter mark richman play priest large filmographies performance okay rest acting movie b film quality u cherish br br recently spent year trying acquire copy movie almost nonexistent assuming discontinued shortly release eventually find copy paid pretty penny acquire happen come upon judgement day video store unmistakeable cheesy green satan cover count among blessed live near one video store still working copy must see like laugh cheesy attempt scary movie,0
film brilliant retelling shakespeare classic love story complete kinky sex body piercing dismemberment follow spirit troma movie except combat shock sucker depressing troma fan anybody appreciates lowbrow visuals hilarious script without doubt fall love movie br br expect pretentious artistic wannabe crap like version r j claire dane leo dicaprio one know silly movie draw humor acting also surprisingly good feel sammy capulet pain try put brain back head br br soundtrack contains many original high energy band like wesley willis fiasco supernova meatman also four star movie viewed remains faithful original story still jam packed troma trademark gore sex humor,1
term art turbulent era literature visual art closing great fifty sixty year period creativity yet restarted music decade many see low point due corporate rock disco television golden age situation comedy odd couple mary tyler moore show h family film even greater period creativity genre saw rise american auteur director like robert altman francis ford coppola martin scorsese ash old studio system dominated hollywood half century director wanted craft literate art film mass sort staple europe since end second world war yet studio trying keep pace socially aware film sort seen since br br unlike film starring actor like jimmy cagney john garfield usually co starring dead end kid dealt social issue gritty realistic way realistic one could get sound stage social consciousness late early manifested science fiction film allowed left wing hollywood preach mass guise considered little comic strip entertainment precedent approach several flying saucer film dealt political zeitgeist mccarthy era notably day earth stood still invasion body snatcher early saw rod serling constantly subverting political conservatism time casting social issue science fiction setting classic sci fi television anthology show twilight zone among studio offering time ecologically sensitive silent running george lucas first film thx dealt consumerism group think existentialism logan run hammered away communism state control versus right individual film reference quite heavyhanded reek current arab oil crisis rampant inflation jarred strawberry cost soylent ration assorted colored food soylent yellow soylent red new soylent green reputedly made finest undersea growth manner unlike gas rationing time scene food riot eerie echo oil riot many gas station year film release scene crowding body live dead lying still chilling well influential later film like escape new york obvious progeny rest script stanley r greenberg however rather pedestrian fairly standard dystopian flick fleischer cinematographer richard h kline great job filling screen interesting image sound spice thing use soft dimly lit visuals murkily filtered add stygian feel new york film almost like colorized version carl theodor dreyer vampyr light film come artificial source fashion faux pa film could truly seem timeless br br end film thorn sneak processing plant human corps made soylent green wafer chilling oddly drama le end soylent minion hunt thorn survives long enough utter film catchphrase chief hatcher yet one know enough hatcher already co opted track record taking easy way yet fact ambiguity show film recapitulate character dilemma depth many later better made film sci fi also soylent green still film worth watching,1
say one redeeming speck regard film firmly establishes bottom barrel filmmaker know aim making movie regret watching debacle shameless abandon making film waste right folk one hundred thousand dollar film reminds adult video award show group industrial prostitute stand praise believing real actor actress filmmaker ironic watched blue movie better acting directing writing also found funny executive producer justin ament movie play deputy jake barker sure acting career taken ted pfiffer writer part doubt wallowing clichéd glory created noted carrie finklea lead role movie might remember gu van sant elephant though sure want write film resume sure depressing point money spent make film people going watch along torque godsend sky captain world tomorrow one worst film worst film,0
surprisingly complex well crafted study first serial killer ussr set day perestroika intense piece brought full life performance stephen reah donald sutherland br br examination cicatillo killer well rounded hinting behavior right showing others subtlety compelling without overtly graphic weak heart however subject matter often disturbing necessary full development main participant fact based story br br hbo furnished u excellent film unusual manner congrats director editor great piece top must see list,1
recap band five young american men left platoon hit hard ardenne offensive wwii get assignment forward outpost look enemy activity really bad condition physically mentally think struck gold outpost abandoned plush mansion full food enemy activity odd hostile odd seems like german squad equally bad condition want nothing surrender br br comment based novel guess novel much better story seem translate well big screen indeed different war movie much mental pressure wartime fighting battle almost feel scene must full suspense full uncertainty unknown element fall flat movie suspenseful different many way absurd many time people act insane reason unclear best hinted br br mental pressure fails come main building piece entire story thought story fell good interesting keep edge really send message actually nothing br br cast interesting many young actor turned star beginning career acting good stellar character also fell absurd zone much feel due story character need time space pace given novel given going halfway definitely good enough br br,0
bird plane look disaster need look sky br br ok enough singer tried make romantic titanic like movie crash box office record failed sr structure dark restricted color scheme would call wishi washi boring usual dialog clown advanced alien technology missing fun magic etc make movie completely disappointing br br simply work br br main thing character like superman superhero core important thing br br love trouble sadly lost depressive supersoftie maximal facet long superman movie whole time br br superman superhero movie anymore like case bad boring social study every minute person fly around br br big difference br br movie joke holy skywalker superman give u supervillains superaction important thing superfun br br want entertainment singer want make long soul love trouble drama lost sadly people take normal human character make yentl remake br br say superman return supersadlysoftie stand door br br maybe singer tried kill legend without kryptonite one bad movie give plan sequel br br next time singer warner brother make superhero movie depressive superlame soap let superhero movie mean colorful fantasy lot fun magic br br movie like cheap chocolate box super cover yes technically sort yes lot small talk joke view action scene etc one worse piece common poor quality br br super boring patchwork one worst movie ever seen live br br ridiculous cast strategy cast young possible make sequel next year give rest kate bosworth play year old star reporter looking like superman full five year away slept year ago looking like daily planet reporter wroting spend night superman warner brother much br br routh bad playing little bit wooden whole movie wooden temporary good marsden sometimes posey rest forget even spacey terrain br br reeve hackman kidder acting easy fun difference br br jesus pose end ridiculous hell problem mean serious joke next time spiderman batman ironman fall rise like jesus angel speak god directly superheroes saving human life every day least one talk god every week possible oh god br br maybe real announced movie instead bizarre dull parallel universe br br warner brother superlame depressive flick possibly greatest disaster history money br br understand difficult maybe create transport message feeling showing lone lost sadly people new thousand movie tv show better old new one like magnolia flying frog impressive flying superwoman sorry superman course br br singer wb simply nothing fact even nothing like black hole destroys passion comic superhero movie steal u three hour life br br mr smilla little brother angry green like hulk,0
movie lack everything except bobby deol standard mediocre one movie come close act single scene kangana complete fake acting br br great anupam kher guest appearance better minute bobby whole movie music nt compliment movie br br well contrast music bobby upen highlighted well great concept gone completely wrong movie nt proper ending please waste time movie,0
